i need to book a table at a food court in nh that serves smelt	O O O O O O O O B-restaurant_type I-restaurant_type O B-state O O B-served_dish
book a food truck that is highly rated in honduras	O O B-restaurant_type I-restaurant_type O O B-sort I-sort O B-country
i need a table at a tavern that has bougatsa	O O O O O O B-restaurant_type O O B-cuisine
book a spot for 1 at a pub with internet	O O O O B-party_size_number O O B-restaurant_type O B-facility
book a spot for marlene jordan and i on oct the 6th	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange I-timeRange
give me a top-rated restaurant that s eastern european	O O O B-sort B-restaurant_type O O B-cuisine I-cuisine
please book highly rated restaurant with food truck tuscan for me and adela in hallam indiana	O O B-sort I-sort B-restaurant_type O B-restaurant_type I-restaurant_type B-cuisine O B-party_size_description I-party_size_description I-party_size_description O B-city B-state
book a reservation for 4 people at a restaurant within the same area as my step daughter s position	O O O O B-party_size_number O O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi I-poi I-poi
party for 2 in cleveland	O O B-party_size_number O B-city
i want to go to a highly rated fast food restaurant around togo with two people total	O O O O O O B-sort I-sort B-restaurant_type I-restaurant_type I-restaurant_type B-spatial_relation B-country O B-party_size_number O O
i need a reservation for harveys this winter in neighboring wisconsin for terri and i	O O O O O B-restaurant_name B-timeRange I-timeRange O B-spatial_relation B-state O B-party_size_description I-party_size_description I-party_size_description
book a restaurant for 8	O O B-restaurant_type O B-party_size_number
i need a table for six near the russia bistro that has wifi	O O O O O B-party_size_number B-spatial_relation O B-country B-restaurant_type O O B-facility
book at the halal guys on oct 17	O O B-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange
book a table for six in a togo restaurant	O O O O B-party_size_number O O B-country B-restaurant_type
need a table at uncommon grounds coffeehouse at eleven for nine	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange O B-party_size_number
find a table for 2 at a restaurant in saint vincent and the grenadines	O O O O B-party_size_number O O B-restaurant_type O B-country I-country I-country I-country I-country
make reservations at a restaurant in adrian that serves cheese steak	O O O O B-restaurant_type O B-city O O B-served_dish I-served_dish
book a restaurant for my baby and i in delaware	O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-state
party of four somewhere in sd	O O B-party_size_number O O B-state
book a brasserie with internet fascility for 5 in a year in oklahoma	O O B-restaurant_type O B-facility O O B-party_size_number B-timeRange I-timeRange I-timeRange O B-state
i need a table for four at a pub in heard island and mcdonald islands	O O O O O B-party_size_number O O B-restaurant_type O B-country I-country I-country I-country I-country
i need a reservation for roscoff restaurant in valley mills	O O O O O B-restaurant_name I-restaurant_name O B-city I-city
book a restaurant in one minute for five people in canal fulton	O O B-restaurant_type B-timeRange I-timeRange I-timeRange O B-party_size_number O O B-city I-city
book a table at a churrascaria for august 5 that has parking	O O O O O B-restaurant_type O B-timeRange I-timeRange O O B-facility
i would like to book a restaurant within the same area as myrtle av for 6	O O O O O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi O B-party_size_number
book the dunbrody country house hotel in ne for 8 people	O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-state O B-party_size_number O
want a table at monty’s hotel secunderabad in the state of vermont	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O O O O B-state
me and terrie need a table at a bar in hypoluxo ut	B-party_size_description I-party_size_description I-party_size_description O O O O O B-restaurant_type O B-city B-state
book me a restaurant that serves festoni for eight in new hampshire	O O O B-restaurant_type O O B-served_dish O B-party_size_number O B-state I-state
i need a table in your position at churrascaria for a hot dog in the same area	O O O O O B-poi I-poi O B-restaurant_type O O B-served_dish I-served_dish B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation
book a restaurant with a pool far from robbie s hostel for me chandra and noelle at nine pm	O O B-restaurant_type O O B-facility B-spatial_relation O B-poi I-poi I-poi O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange
book reservations at a restaurant in iron springs	O O O O B-restaurant_type O B-city I-city
book a restaurant in ms that can seat ten at 01:51:47 pm	O O B-restaurant_type O B-state O O O B-party_size_number O B-timeRange I-timeRange
book a table in mississippi on may nineteenth 2034 for me silvia and sandy	O O O O B-state O B-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
i want to eat at a brasserie that has internet near greenland at elevenses	O O O O O O B-restaurant_type O O B-facility B-spatial_relation B-city O B-timeRange
i have eight that would like to eat cretan in a cafeteria and need reservations	O O B-party_size_number O O O O O B-cuisine O O B-restaurant_type O O O
i want a table for 7 at a popular cafeteria on holy saturday in ga	O O O O O B-party_size_number O O B-sort B-restaurant_type O B-timeRange I-timeRange O B-state
book me a restaurant ten minutes from now	O O O B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange
book the last exit on brooklyn 5 hours from now for one person	O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_number O
book me a tibetan restaurant for my boss and i	O O O B-cuisine B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a table for five in unalaska this month	O O O O B-party_size_number O B-city B-timeRange I-timeRange
book a bar for 2 in hayden row on friday	O O B-restaurant_type O B-party_size_number O B-city I-city O B-timeRange
please find me a table at a place that serves glace has room for six and a pub atmosphere	O O O O O O O O O O B-served_dish O O O B-party_size_number O O B-restaurant_type O
book a table at the eighth step coffee house that isn t too far from vineyard haven for candace phillips debbie and sondra	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O O O O B-spatial_relation O B-city I-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a brasserie at turtle creek neighboring on march sixth 2038 for eight	O O B-restaurant_type O B-poi I-poi B-spatial_relation O B-timeRange I-timeRange I-timeRange O B-party_size_number
i d like to visit a pizzeria with a pool at fourteen o clock	O O O O O O B-restaurant_type O O B-facility O B-timeRange I-timeRange I-timeRange
book reservations for five at eleven madison park today within walking distance from flaxton	O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name B-timeRange B-spatial_relation I-spatial_relation I-spatial_relation O B-city
book a brasserie for connie scott and madeline in northern mariana islands in eleven hours	O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-state I-state I-state B-timeRange I-timeRange I-timeRange
please book a brasserie restaurant for eight in ireland	O O O B-restaurant_type I-restaurant_type O B-party_size_number O B-country
i d like to get reservations for four at a restaurant that serves apple sauce	O O O O O O O B-party_size_number O O B-restaurant_type O O B-served_dish I-served_dish
book a table for three at a restarunt in federal hill	O O O O B-party_size_number O O O O B-city I-city
book a spot for ten at a pizzeria that has tourte in minnesota in 22 and a half weeks in yamhill	O O O O B-party_size_number O O B-restaurant_type O O B-served_dish O B-state B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange O B-city
book a restaurant for ten in exmore at sunset	O O B-restaurant_type O B-party_size_number O B-city O B-timeRange
can you get me a table at a tavern in slovakia	O O O O O O O O B-restaurant_type O B-country
book a restaurant for ten in germfask	O O B-restaurant_type O B-party_size_number O B-city
book a pub that serves fries for 9 people	O O B-restaurant_type O O B-served_dish O B-party_size_number O
book me a table for 8 at a restaurant for seven pm	O O O O O B-party_size_number O O B-restaurant_type O B-timeRange I-timeRange
book a reservation for seven people at fraser mansion in il	O O O O B-party_size_number O O B-restaurant_name I-restaurant_name O B-state
book a table in a haines borough restaurant for nine that is within walking distance	O O O O O B-poi I-poi B-restaurant_type O B-party_size_number O O B-spatial_relation I-spatial_relation I-spatial_relation
book a spot for robyn martinez maude and i at a steakhouse not far from their place	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type B-spatial_relation I-spatial_relation O B-poi I-poi
