i want to fly from baltimore to dallas round trip	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
can you give me a list of the flights from atlanta to boston	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name
show me the first class fares from baltimore to dallas	O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name
flight information from denver to san francisco	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
can you tell me how to get from the airport in philadelphia to downtown	O O O O O O O O O O O B-fromloc.city_name O O
flights from baltimore to philadelphia please	O O B-fromloc.city_name O B-toloc.city_name O
show me the flights from los angeles to pittsburgh which arrive at pittsburgh on monday	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name O B-arrive_date.day_name
what are the flights dallas to boston on monday morning	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
i'd like to book an flight on american airlines from boston to san francisco with one stop in pittsburgh	O O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-flight_stop I-flight_stop O B-stoploc.city_name
shortest flight from ontario california to orlando florida	B-flight_mod O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name
flights between new york and miami	O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
show me city served both by nationair and canadian airlines international	O O O O O O B-airline_name O B-airline_name I-airline_name I-airline_name
what flights go from pittsburgh to newark after 823 in the morning	O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time O O B-depart_time.period_of_day
show me all flights from san francisco to la guardia nonstop	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.airport_name I-toloc.airport_name B-flight_stop
list all daily flights between boston and oakland as well as boston and oakland using american airline	O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
show me about the ground transportation in boston	O O O O O O O B-city_name
please tell me how many nonstop flights there are from boston to atlanta	O O O O O B-flight_stop O O O O B-fromloc.city_name O B-toloc.city_name
list the flights from philadelphia to dallas on american airlines	O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
show me the fares for delta flights from dallas to san francisco	O O O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what type of aircraft are used on flights from cleveland to dallas that leave before noon	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time
do you have a night flight from washington to boston on august twenty seventh	O O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
what nonstop flights are available from oakland to pittsburgh	O B-flight_stop O O O O B-fromloc.city_name O B-toloc.city_name
are there any flights next monday morning from pittsburgh to san francisco	O O O O B-depart_date.date_relative B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
please show me the return flights from miami to new york	O O O O B-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
ground transportation in baltimore	O O O B-city_name
show me flights from denver to atlanta on june sixteenth	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
show me the cheapest flights from san francisco to boston	O O O B-cost_relative O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
what are the rental car rates in san francisco	O O O B-transport_type I-transport_type O O B-city_name I-city_name
explain fare code qx	O O O B-fare_basis_code
i would like to fly from pittsburgh to san francisco	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i'm trying to find a flight from columbus to phoenix through cincinnati	O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name
show me the flights from salt lake city to st. petersburg on wednesday	O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
show me all ground transportation in washington dc	O O O O O O B-city_name B-state_code
i'd like a ticket from denver to atlanta with a stopover in pittsburgh is this possible	O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name O O O
show me the airlines that fly from san francisco to boston	O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
do you have a flight from atlanta to baltimore nonstop on a boeing 757 arriving baltimore around 7 pm	O O O O O O B-fromloc.city_name O B-toloc.city_name B-flight_stop O O O B-aircraft_code O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
show me flights available from atlanta to baltimore leaving on monday morning	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_time.period_of_day
can you list all flights from toronto to san diego	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
please give me direct morning flights from pittsburgh to atlanta	O O O B-connect B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
is there limousine service available at baltimore airport	O O B-transport_type O O O B-airport_name I-airport_name
show me the flights from toronto to salt lake city which leave toronto after 6 pm	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time
can i get a rental car in dallas	O O O O B-transport_type I-transport_type O B-city_name
i need a listing of flights from new york city to montreal canada departing thursday in the morning	O O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.country_name O B-depart_date.day_name O O B-depart_time.period_of_day
i'd like to find the cheapest one way fare from baltimore to denver	O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
show me flights from baltimore to philadelphia please	O O O O B-fromloc.city_name O B-toloc.city_name O
how much does the american airlines flight 71 from dallas to san francisco cost	O O O O B-airline_name I-airline_name O B-flight_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O
what is the earliest flight arriving in charlotte from st. louis on friday	O O O B-flight_mod O O O B-toloc.city_name O B-fromloc.city_name I-fromloc.city_name O B-arrive_date.day_name
show me the cheapest flights round trip from new york to san jose	O O O B-cost_relative O B-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
first class round trip airfare from indianapolis to memphis	B-class_type I-class_type B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
tell me about ground transportation at san francisco	O O O O O O B-city_name I-city_name
show flights from denver to oakland that arrive after 12 o'clock	O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
please list the flights from dallas fort worth to dc baltimore on july twenty third	O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.state_code B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
i want to fly from philadelphia to dallas to san francisco on monday july eighth	O O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number
how many nonstop flights going from dallas to oakland july twenty seventh	O O B-flight_stop O O O B-fromloc.city_name O B-toloc.city_name B-arrive_date.month_name B-arrive_date.day_number I-arrive_date.day_number
show me the flight with the smallest seating capacity which leaves pittsburgh and arrives in baltimore on june fourteenth	O O O O O O B-mod O O O O B-fromloc.city_name O O O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number
flight from long beach to columbus on twenty seventh	O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number I-depart_date.day_number
what are the classes of service for continental airlines	O O O O O O O B-airline_name I-airline_name
what is the earliest flight from boston to bwi that serves a snack	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.airport_code O O O B-meal_description
show me flights from washington dc to san francisco with a stopover in denver	O O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name
what airlines flies out of atlanta	O O O O O B-fromloc.city_name
list flights from houston to memphis june twenty ninth	O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
i need a late flight from san francisco to boston on wednesday	O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
what type of aircraft leaves from boston to washington dc at 9 am	O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_time.time I-depart_time.time
flights from baltimore to san francisco	O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me all flights that arrive in philadelphia from baltimore denver or pittsburgh	O O O O O O O B-toloc.city_name O B-fromloc.city_name B-fromloc.city_name B-or B-fromloc.city_name
i'm looking for flights from pittsburgh to philadelphia leaving before 9 am	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
what is the distance from boston airport to boston	O O O O O B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name
i'd like the cheapest one way fare from boston to atlanta please	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O
show me flights between new york city and las vegas on sunday	O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
what is the cheapest one way fare from boston to baltimore	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
weekday flights from san francisco to denver	B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
show me the nonstop flights from nashville to st. louis	O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i'd like to find a flight from miami florida to las vegas nevada that would arrive before 4 pm on sunday	O O O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name I-toloc.city_name B-toloc.state_name O O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-arrive_date.day_name
